frame,id,class,confidence,x1,y1,x2,y2
323,,lt,0.6316231489181519,30,1311,179,1403
324,,gt,0.7481329441070557,152,1220,355,1397
324,,bt,0.42758551239967346,151,1219,358,1397
325,,gt,0.7632101774215698,259,1077,561,1405
326,468.0,gt,0.8218911290168762,293,1107,687,1351
327,468.0,gt,0.8405657410621643,437,1080,790,1359
328,468.0,gt,0.8904396295547485,485,1049,895,1304
329,468.0,gt,0.8459222912788391,503,1013,955,1256
330,468.0,gt,0.8766686916351318,529,999,978,1238
331,468.0,gt,0.8877853155136108,538,996,986,1236
332,468.0,gt,0.8950620889663696,545,996,988,1237
333,468.0,gt,0.8805966973304749,590,998,994,1257
334,468.0,gt,0.8979869484901428,571,995,1023,1230
335,468.0,gt,0.897438108921051,578,989,1045,1222
336,468.0,gt,0.8928850889205933,580,987,1051,1220
337,468.0,gt,0.8992252349853516,587,988,1049,1219
338,468.0,gt,0.9007865190505981,583,988,1047,1219
339,468.0,gt,0.8934897184371948,589,988,1046,1219
340,468.0,gt,0.9031028151512146,594,989,1044,1219
341,468.0,gt,0.9043533205986023,594,989,1054,1221
342,468.0,gt,0.9130576848983765,600,993,1060,1222
343,468.0,gt,0.9068273305892944,605,994,1061,1224
344,468.0,gt,0.9049755334854126,606,996,1064,1225
345,468.0,gt,0.9033324718475342,603,997,1067,1225
346,468.0,gt,0.9098039269447327,595,998,1068,1217
347,468.0,gt,0.9046610593795776,600,1002,1069,1217
348,468.0,gt,0.8974766135215759,614,1009,1078,1222
349,468.0,gt,0.8223121762275696,659,995,1112,1200
350,468.0,gt,0.8849900364875793,727,982,1154,1169
351,468.0,gt,0.8971508145332336,792,993,1201,1170
352,468.0,gt,0.8602726459503174,877,1032,1241,1174
353,468.0,gt,0.85177081823349,935,1060,1281,1175
354,468.0,gt,0.7916139364242554,954,1070,1299,1174
355,468.0,gt,0.7446739077568054,965,1070,1310,1174
356,468.0,bt,0.7201645970344543,963,1076,1314,1173
357,468.0,gt,0.7339363098144531,963,1075,1324,1174
358,468.0,gt,0.863284707069397,960,1066,1335,1174
359,468.0,gt,0.8523993492126465,947,1067,1352,1175
360,468.0,gt,0.8361414074897766,943,1061,1343,1175
361,468.0,gt,0.8544617295265198,945,1059,1353,1176
362,468.0,gt,0.8661354184150696,932,1053,1344,1177
363,468.0,gt,0.8624018430709839,926,1046,1339,1177
364,468.0,gt,0.8732008337974548,922,1048,1337,1178
365,468.0,gt,0.8731988072395325,920,1050,1336,1179
366,468.0,gt,0.8740994930267334,917,1048,1335,1179
367,468.0,gt,0.8723880648612976,917,1049,1335,1180
368,468.0,gt,0.8639296293258667,917,1051,1337,1178
369,468.0,gt,0.8651756644248962,925,1040,1342,1177
370,468.0,gt,0.8893036842346191,954,1021,1347,1174
371,468.0,gt,0.8722562789916992,976,1015,1354,1173
372,468.0,gt,0.8724914193153381,1002,1012,1353,1172
373,468.0,gt,0.8941415548324585,1011,1010,1352,1173
374,468.0,gt,0.8969646692276001,1016,1009,1354,1173
375,468.0,gt,0.8759827613830566,1023,1010,1355,1173
376,468.0,gt,0.8661420345306396,1016,1009,1351,1172
377,468.0,gt,0.9048992395401001,1064,1006,1343,1175
378,468.0,gt,0.9046066999435425,1093,1004,1340,1177
379,468.0,gt,0.8867536783218384,1101,1003,1339,1177
380,468.0,gt,0.8789119124412537,1104,1002,1340,1176
381,468.0,gt,0.8487867712974548,1111,1002,1340,1175
382,468.0,gt,0.8765550255775452,1112,1002,1340,1175
383,468.0,gt,0.8760212063789368,1106,1009,1344,1176
384,468.0,bt,0.8652445077896118,1101,1034,1326,1178
385,468.0,gt,0.7239097356796265,1098,1059,1312,1178
386,468.0,gt,0.7827588319778442,1102,1069,1304,1177
387,468.0,gt,0.8456594944000244,1097,1072,1302,1179
388,468.0,gt,0.8432202339172363,1098,1075,1304,1177
389,468.0,gt,0.8197932839393616,1105,1078,1303,1177
390,468.0,gt,0.8511655926704407,1093,1086,1305,1178
391,468.0,gt,0.8628451228141785,1089,1088,1305,1179
392,468.0,gt,0.8361112475395203,1097,1084,1301,1178
393,468.0,gt,0.8266695737838745,1105,1081,1298,1176
394,468.0,gt,0.8426520824432373,1102,1075,1295,1177
395,468.0,gt,0.8293665647506714,1106,1071,1294,1175
396,468.0,gt,0.8530188798904419,1111,1071,1295,1175
397,468.0,gt,0.8393736481666565,1117,1067,1296,1175
398,468.0,gt,0.8385263085365295,1122,1064,1297,1175
399,468.0,gt,0.8356384038925171,1120,1064,1300,1176
400,468.0,gt,0.8066518902778625,1119,1063,1300,1176
401,468.0,gt,0.8278089761734009,1119,1063,1301,1176
402,468.0,gt,0.7788724303245544,1113,1060,1299,1176
403,468.0,gt,0.8036147356033325,1111,1062,1298,1176
404,468.0,bt,0.6217151880264282,1110,1062,1297,1176
