frame,id,class,confidence,x1,y1,x2,y2
1,,gt,0.8968522548675537,1265,754,1554,908
2,543.0,gt,0.8973206281661987,1265,754,1555,908
3,543.0,gt,0.8964536190032959,1264,753,1554,908
4,543.0,gt,0.8958407640457153,1260,753,1554,909
5,543.0,gt,0.8306033611297607,1262,726,1550,910
6,543.0,gt,0.8669087886810303,1271,742,1558,909
7,543.0,gt,0.8286290764808655,1344,727,1577,887
8,543.0,gt,0.8038104176521301,1429,720,1596,872
9,543.0,gt,0.7825372219085693,1498,717,1622,875
10,543.0,gt,0.808929979801178,1528,714,1628,871
11,543.0,gt,0.8406583070755005,1532,711,1633,866
12,543.0,gt,0.8373492360115051,1534,711,1635,864
13,543.0,gt,0.8242418169975281,1534,712,1634,864
14,543.0,gt,0.8247911930084229,1533,712,1632,864
15,543.0,gt,0.8373012542724609,1531,712,1631,864
16,543.0,gt,0.8355554938316345,1528,712,1630,864
17,543.0,gt,0.8301910161972046,1521,716,1629,863
18,543.0,gt,0.7966823577880859,1510,726,1641,863
19,543.0,gt,0.8074946999549866,1502,711,1678,866
20,543.0,gt,0.8040540814399719,1500,705,1688,866
21,543.0,gt,0.8272908926010132,1498,702,1697,866
22,543.0,gt,0.8062235713005066,1498,700,1696,865
23,543.0,gt,0.7942127585411072,1497,699,1687,865
24,543.0,gt,0.8114380240440369,1501,709,1698,873
25,543.0,gt,0.6726024746894836,1484,695,1701,880
26,,r,0.6292305588722229,1263,658,1612,884
26,,r,0.4867210388183594,1370,659,1611,880
27,545.0,gt,0.7924516797065735,1242,653,1507,828
28,,gt,0.7565997838973999,1172,690,1375,783
29,,bt,0.5600024461746216,1044,640,1230,753
29,,gt,0.39029064774513245,1045,642,1229,748
30,,bt,0.4602985978126526,929,636,1097,740
30,,gt,0.3626193404197693,929,637,1095,739
32,,gt,0.28832951188087463,635,537,818,667
33,,gt,0.7682240009307861,510,481,673,603
34,,gt,0.6544710397720337,395,452,543,544
34,,gt,0.1308947503566742,402,474,544,547
35,,gt,0.5281919240951538,305,418,416,488
94,,bt,0.27735254168510437,2208,748,2342,810
94,,gt,0.18054617941379547,2207,747,2342,809
95,,gt,0.4688984453678131,2209,782,2290,861
96,,gt,0.1744694709777832,2173,807,2234,864
97,,gt,0.22253508865833282,2128,824,2203,873
99,,bt,0.7260243892669678,1997,895,2079,958
100,,gt,0.7849279046058655,1872,918,2018,1067
100,,bt,0.45282086730003357,1874,921,2019,1066
101,,bt,0.7425805330276489,1800,919,1957,1093
105,,lt,0.7277767658233643,1411,760,1632,891
105,,r,0.4731736481189728,1407,758,1616,886
106,563.0,gt,0.7732422947883606,1440,781,1570,896
107,563.0,gt,0.738097071647644,1401,759,1527,891
108,563.0,gt,0.7963681221008301,1383,745,1508,890
109,563.0,gt,0.7976266741752625,1389,738,1502,887
110,563.0,gt,0.8013623356819153,1393,736,1503,888
111,563.0,gt,0.7980383634567261,1393,737,1503,888
112,563.0,gt,0.7903679609298706,1390,738,1509,887
113,563.0,gt,0.7931576371192932,1407,738,1519,883
114,563.0,gt,0.813736617565155,1414,739,1522,886
115,563.0,gt,0.7981297373771667,1415,740,1520,885
116,563.0,gt,0.8029970526695251,1415,740,1520,886
117,563.0,gt,0.8048778176307678,1414,740,1522,887
118,563.0,gt,0.8052127957344055,1415,741,1522,886
119,563.0,gt,0.8053808808326721,1415,741,1522,887
120,563.0,gt,0.7181504368782043,1349,738,1534,887
121,563.0,j,0.8047053813934326,1279,686,1543,880
122,,gt,0.8327850699424744,1080,733,1398,878
123,,bt,0.6303094625473022,929,717,1194,922
123,,lt,0.6205912828445435,913,714,1194,922
124,,bt,0.843675971031189,700,803,869,1013
125,,bt,0.8386234641075134,467,810,798,1136
126,,gt,0.8114852905273438,344,912,608,1230
127,,bt,0.8466648459434509,244,1022,432,1190
128,,gt,0.6320537328720093,161,1130,284,1244
295,,gt,0.4947366416454315,0,996,78,1152
295,,gt,0.1518118679523468,0,995,88,1111
296,,gt,0.6244930028915405,37,1046,174,1180
296,,bt,0.590242326259613,42,1047,172,1172
297,,bt,0.717254638671875,97,1034,256,1164
297,,gt,0.24306277930736542,101,1034,254,1164
298,,bt,0.4672149419784546,178,1000,278,1129
298,,gt,0.3699721395969391,180,1000,280,1127
299,,bt,0.7748698592185974,261,981,367,1107
300,,gt,0.6027454733848572,334,977,479,1109
301,,gt,0.6494562029838562,412,970,714,1154
302,,gt,0.790370762348175,467,875,850,1213
303,,bt,0.8796045184135437,644,888,821,1129
304,,bt,0.810651421546936,737,855,900,1051
306,,gt,0.3960891366004944,924,796,1001,912
307,,gt,0.28054285049438477,927,790,1018,932
308,585.0,gt,0.5388543009757996,930,791,1023,932
309,585.0,gt,0.5799362063407898,932,789,1028,939
310,585.0,gt,0.5169429183006287,932,789,1034,951
310,586.0,gt,0.35620737075805664,865,790,1036,974
311,585.0,gt,0.5495797395706177,929,786,1041,950
311,586.0,gt,0.3239326775074005,858,786,1042,980
312,585.0,gt,0.6969119310379028,933,781,1048,951
313,585.0,gt,0.6892553567886353,942,777,1056,934
314,585.0,gt,0.7041621208190918,952,774,1064,927
315,585.0,gt,0.7288732528686523,953,773,1068,926
316,585.0,gt,0.7423536777496338,960,777,1069,926
317,585.0,gt,0.7438578009605408,963,778,1069,926
318,585.0,gt,0.743137001991272,962,777,1070,926
319,585.0,gt,0.7441014051437378,963,777,1071,926
320,585.0,gt,0.7398079037666321,963,777,1071,928
321,585.0,gt,0.814146876335144,967,779,1097,925
322,585.0,gt,0.8103616833686829,947,787,1088,924
323,585.0,gt,0.7957495450973511,939,791,1084,925
324,585.0,gt,0.7957932353019714,935,791,1083,924
325,585.0,gt,0.7941457629203796,933,791,1081,925
326,585.0,gt,0.7909031510353088,933,792,1080,925
327,585.0,gt,0.7904806733131409,932,791,1080,925
328,585.0,gt,0.7902830243110657,932,791,1080,925
329,585.0,gt,0.7885015606880188,932,792,1080,925
330,585.0,gt,0.7854828238487244,932,791,1081,925
331,585.0,gt,0.7872769236564636,934,792,1080,926
332,585.0,gt,0.7843096852302551,935,793,1080,927
333,585.0,gt,0.7783220410346985,933,795,1080,926
334,585.0,gt,0.811334490776062,935,767,1084,932
335,585.0,gt,0.7789853811264038,960,774,1084,934
336,585.0,gt,0.7715155482292175,975,753,1091,935
337,585.0,gt,0.7331560254096985,987,756,1101,939
338,585.0,bt,0.7933390140533447,997,763,1110,946
338,587.0,gt,0.47369927167892456,995,767,1108,948
339,585.0,bt,0.8212794065475464,1006,768,1112,946
340,585.0,gt,0.7626347541809082,1014,775,1114,949
341,585.0,gt,0.7868799567222595,1014,778,1115,951
342,585.0,gt,0.8022797107696533,1014,781,1116,952
343,585.0,gt,0.8047751784324646,1015,784,1118,952
344,585.0,gt,0.7731035947799683,1009,785,1117,956
345,585.0,gt,0.7905405759811401,1002,801,1119,960
346,585.0,gt,0.7886013388633728,1004,804,1121,959
347,585.0,gt,0.7927109599113464,1005,806,1122,958
348,585.0,gt,0.7845404744148254,1005,806,1122,956
349,585.0,gt,0.7849243879318237,1007,805,1122,955
350,585.0,gt,0.7995097041130066,1009,807,1124,952
351,585.0,gt,0.8317554593086243,992,794,1133,946
352,585.0,gt,0.8330655694007874,1021,776,1150,937
353,585.0,gt,0.8116945028305054,1047,767,1170,935
354,585.0,gt,0.8239403963088989,1058,764,1187,944
355,585.0,gt,0.799306333065033,1065,763,1196,945
356,585.0,gt,0.8210591077804565,1073,762,1201,945
357,585.0,gt,0.8071975111961365,1069,761,1204,943
358,585.0,gt,0.8037055730819702,1072,761,1206,941
359,585.0,gt,0.8016299605369568,1072,760,1209,940
360,585.0,gt,0.7913705110549927,1076,756,1210,940
361,585.0,gt,0.790019154548645,1071,753,1213,940
362,585.0,gt,0.791000247001648,1066,752,1214,938
363,585.0,gt,0.7937816381454468,1067,752,1214,938
364,585.0,gt,0.7934232950210571,1069,752,1214,938
365,585.0,gt,0.7896027565002441,1074,755,1214,939
366,585.0,gt,0.8003562092781067,1078,774,1216,937
367,585.0,gt,0.7740952968597412,1072,796,1216,941
368,585.0,gt,0.7609719038009644,1071,805,1217,941
369,585.0,gt,0.805141031742096,1065,812,1217,939
370,585.0,gt,0.7850607633590698,1064,809,1214,940
371,585.0,gt,0.7884922027587891,1071,808,1209,939
372,585.0,gt,0.814635157585144,1077,797,1206,944
373,585.0,gt,0.8161162734031677,1079,788,1206,945
374,585.0,gt,0.8131049871444702,1080,785,1207,946
375,585.0,gt,0.8099004030227661,1082,784,1208,947
376,585.0,gt,0.8141223788261414,1089,783,1211,947
