x1,y1,x2,y2,id,confidence,class
801.23779296875,904.519775390625,2051.12353515625,1272.723388671875,1.0,0.9534947872161865,1.0
1249.28076171875,814.4598388671875,1621.296875,1136.11376953125,2.0,0.920419454574585,2.0
801.3223266601562,905.2340698242188,2051.13134765625,1272.818359375,1.0,0.953183114528656,1.0
1250.26123046875,814.88818359375,1615.9361572265625,1135.9364013671875,2.0,0.9166336059570312,2.0
801.4562377929688,906.6023559570312,2051.034912109375,1273.4068603515625,1.0,0.9522861838340759,1.0
1258.1304931640625,854.6759643554688,1578.907470703125,1135.3470458984375,2.0,0.9001858830451965,2.0
801.1333618164062,907.6464233398438,2052.046142578125,1273.5845947265625,1.0,0.9508002996444702,1.0
1311.757080078125,862.1115112304688,1550.044677734375,1136.42431640625,2.0,0.9436410069465637,2.0
801.2522583007812,907.1036987304688,2051.0966796875,1273.5477294921875,1.0,0.9512670040130615,1.0
1310.200439453125,862.8489990234375,1542.0074462890625,1136.8231201171875,2.0,0.9465165734291077,2.0
800.8629150390625,906.7301635742188,2051.9697265625,1273.4962158203125,1.0,0.9517710208892822,1.0
1316.024658203125,863.5107421875,1539.83544921875,1136.5142822265625,2.0,0.9432456493377686,2.0
800.7817993164062,906.382568359375,2052.164794921875,1273.4542236328125,1.0,0.9515464305877686,1.0
1323.025390625,860.9186401367188,1540.5072021484375,1136.134521484375,2.0,0.9399502873420715,2.0
801.2589721679688,906.0458374023438,2051.044921875,1273.1123046875,1.0,0.9525718688964844,1.0
1322.18896484375,860.3446044921875,1540.158935546875,1136.9302978515625,2.0,0.937117874622345,2.0
801.5441284179688,906.0659790039062,2050.951416015625,1273.0946044921875,1.0,0.9526069164276123,1.0
1325.3319091796875,860.43798828125,1542.06591796875,1136.0341796875,2.0,0.9382853507995605,2.0
801.5753784179688,906.0546875,2050.96728515625,1273.1766357421875,1.0,0.952263355255127,1.0
1325.453125,859.7766723632812,1543.474365234375,1136.8001708984375,2.0,0.9358294606208801,2.0
801.5264892578125,906.037353515625,2050.753662109375,1273.1658935546875,1.0,0.9535526037216187,1.0
1329.2728271484375,857.218017578125,1545.0069580078125,1136.597412109375,2.0,0.9376363754272461,2.0
801.5241088867188,905.9358520507812,2050.85302734375,1273.1697998046875,1.0,0.9530137181282043,1.0
1328.37451171875,857.9918823242188,1545.6324462890625,1136.2529296875,2.0,0.935565710067749,2.0
801.7098388671875,905.9694213867188,2050.8125,1273.081298828125,1.0,0.9525582194328308,1.0
1328.1041259765625,857.7992553710938,1546.9066162109375,1135.909912109375,2.0,0.9403330683708191,2.0
801.5538330078125,905.875244140625,2050.783447265625,1273.1796875,1.0,0.9524665474891663,1.0
1330.536376953125,857.9827880859375,1547.6549072265625,1135.917236328125,2.0,0.9350765347480774,2.0
801.6242065429688,906.0160522460938,2050.73095703125,1273.2672119140625,1.0,0.9526728391647339,1.0
1328.40625,856.1907958984375,1547.7589111328125,1136.2080078125,2.0,0.9417311549186707,2.0
801.53564453125,906.1539306640625,2050.547607421875,1273.392333984375,1.0,0.9521300196647644,1.0
1327.652587890625,855.9308471679688,1547.5223388671875,1136.7982177734375,2.0,0.9300076961517334,2.0
801.4894409179688,906.2799072265625,2050.54443359375,1273.4306640625,1.0,0.9523462653160095,1.0
1328.032470703125,855.43505859375,1547.5614013671875,1137.107177734375,2.0,0.9362982511520386,2.0
801.360107421875,906.0308227539062,2050.545166015625,1273.4632568359375,1.0,0.9522883296012878,1.0
1326.78662109375,857.362548828125,1547.430419921875,1137.7862548828125,2.0,0.9328722357749939,2.0
801.4754638671875,906.0728759765625,2050.535400390625,1273.3197021484375,1.0,0.95260089635849,1.0
1328.1812744140625,857.5474853515625,1548.2955322265625,1137.4056396484375,2.0,0.9296974539756775,2.0
801.5491333007812,906.6246337890625,2050.531494140625,1273.217529296875,1.0,0.9528838396072388,1.0
1325.857177734375,856.0762329101562,1549.948486328125,1136.468994140625,2.0,0.9212010502815247,2.0
801.7376098632812,906.321533203125,2050.659912109375,1272.899658203125,1.0,0.9541462659835815,1.0
1331.491943359375,855.7588500976562,1554.5225830078125,1136.34814453125,2.0,0.9259968996047974,2.0
801.5389404296875,906.2892456054688,2050.791259765625,1272.7803955078125,1.0,0.9549666047096252,1.0
1342.047119140625,847.7782592773438,1556.4498291015625,1135.4642333984375,2.0,0.9313436150550842,2.0
801.6243896484375,906.729248046875,2050.880126953125,1272.732421875,1.0,0.954885721206665,1.0
1344.8709716796875,844.2186889648438,1557.299560546875,1135.3682861328125,2.0,0.9284427165985107,2.0
801.6583862304688,906.8538208007812,2051.11767578125,1272.729736328125,1.0,0.9549353718757629,1.0
1343.930419921875,842.3500366210938,1558.299072265625,1135.482421875,2.0,0.9293433427810669,2.0
801.6984252929688,906.9715576171875,2051.390625,1272.760009765625,1.0,0.9547852873802185,1.0
1344.2874755859375,841.320556640625,1558.514892578125,1135.4334716796875,2.0,0.9305391907691956,2.0
801.7548828125,906.952880859375,2051.400390625,1272.7471923828125,1.0,0.9548203945159912,1.0
1344.1949462890625,840.8765258789062,1558.626220703125,1135.3402099609375,2.0,0.9297558665275574,2.0
801.8350830078125,906.6771850585938,2051.474365234375,1272.784423828125,1.0,0.9550022482872009,1.0
1343.633544921875,840.6806030273438,1558.6781005859375,1135.33203125,2.0,0.929427981376648,2.0
802.0460205078125,906.8395385742188,2051.423095703125,1272.826904296875,1.0,0.9548313617706299,1.0
1340.8553466796875,840.39013671875,1558.788818359375,1135.3953857421875,2.0,0.9331351518630981,2.0
802.1480102539062,906.9909057617188,2051.44677734375,1272.7972412109375,1.0,0.9545730948448181,1.0
1338.9361572265625,839.9509887695312,1559.0250244140625,1135.381591796875,2.0,0.9314861297607422,2.0
802.3369140625,907.2056884765625,2051.24658203125,1272.66259765625,1.0,0.95450359582901,1.0
1338.9337158203125,839.8838500976562,1559.348876953125,1135.6641845703125,2.0,0.9336094856262207,2.0
801.73876953125,906.8738403320312,2051.643310546875,1272.6248779296875,1.0,0.9549775719642639,1.0
1338.1180419921875,839.6771850585938,1559.737060546875,1135.7039794921875,2.0,0.9320285320281982,2.0
801.5413208007812,905.9645385742188,2051.679931640625,1272.6343994140625,1.0,0.9539878368377686,1.0
1333.9263916015625,850.4286499023438,1555.2275390625,1135.8515625,2.0,0.9160131812095642,2.0
801.2937622070312,905.7776489257812,2051.49365234375,1272.740478515625,1.0,0.9535537958145142,1.0
1331.9085693359375,855.6609497070312,1552.380615234375,1135.95849609375,2.0,0.9285721778869629,2.0
800.5679321289062,906.0225830078125,2052.423583984375,1273.0938720703125,1.0,0.9511104822158813,1.0
1330.2760009765625,859.1322631835938,1549.7177734375,1135.94384765625,2.0,0.9364054203033447,2.0
