frame,id,class,confidence,x1,y1,x2,y2
1,438,j,0.916833758354187,1033,618,1408,910
2,438,j,0.9167341589927673,1115,615,1437,910
3,438,j,0.9151886105537415,1143,614,1446,910
4,438,j,0.9143680334091187,1151,612,1448,911
5,438,j,0.913979172706604,1152,611,1449,911
6,438,j,0.9138433933258057,1145,611,1449,910
7,438,j,0.914617657661438,1141,611,1449,910
8,438,j,0.9145873785018921,1138,612,1449,909
9,438,j,0.9124274253845215,1134,612,1449,909
10,438,j,0.91275554895401,1132,612,1449,909
11,438,j,0.9132223129272461,1131,612,1449,908
12,438,j,0.9134829640388489,1131,612,1449,909
13,438,j,0.9126664996147156,1130,612,1449,909
14,438,j,0.9130456447601318,1129,611,1449,909
15,438,j,0.9141923785209656,1130,611,1448,909
16,438,j,0.9160308241844177,1126,612,1448,910
17,438,j,0.915280282497406,1123,612,1448,911
18,438,j,0.9151507019996643,1122,612,1448,910
19,438,j,0.9155594110488892,1122,612,1448,910
20,438,j,0.916008710861206,1123,612,1448,910
21,438,j,0.9140815734863281,1123,615,1448,910
22,438,j,0.9123930335044861,1125,620,1448,910
23,438,j,0.916293740272522,1127,624,1447,910
24,438,j,0.9185502529144287,1131,627,1447,909
25,438,j,0.9177699089050293,1132,630,1447,909
26,438,j,0.9184735417366028,1130,633,1447,909
27,438,j,0.9187837839126587,1128,634,1446,909
28,438,j,0.919133722782135,1127,634,1445,909
29,438,j,0.9188543558120728,1127,634,1444,909
30,438,j,0.9191359281539917,1129,634,1444,909
31,438,j,0.921554684638977,1135,633,1444,910
32,438,j,0.9214761257171631,1137,632,1444,910
33,438,j,0.9211448431015015,1137,632,1444,910
34,438,j,0.9211332201957703,1137,632,1444,910
35,438,j,0.9208300709724426,1136,632,1444,910
36,438,j,0.9203227758407593,1136,634,1444,910
37,438,j,0.921387255191803,1136,635,1443,909
38,438,j,0.9188732504844666,1136,639,1442,909
39,438,j,0.9201182723045349,1135,645,1441,909
40,438,j,0.922899067401886,1130,656,1444,908
41,438,j,0.9215570092201233,1126,665,1450,908
42,438,j,0.9204041957855225,1123,671,1458,911
43,438,j,0.9251877665519714,1123,675,1468,916
44,438,j,0.9275609254837036,1125,678,1475,920
45,438,j,0.9280350208282471,1122,681,1479,921
46,438,j,0.9251085519790649,1116,681,1481,921
47,438,j,0.9240384101867676,1113,681,1481,921
48,438,j,0.9224638938903809,1108,680,1479,921
49,438,j,0.9227285981178284,1106,680,1477,921
50,438,j,0.921159565448761,1106,678,1477,919
51,438,j,0.9170418381690979,1107,674,1475,912
52,438,j,0.9152148962020874,1106,661,1479,908
53,438,j,0.9153261184692383,1106,647,1489,908
54,438,j,0.9192111492156982,1109,639,1510,908
55,438,j,0.9226166009902954,1111,634,1520,907
56,438,j,0.922214925289154,1111,631,1524,908
57,438,j,0.9227518439292908,1113,631,1526,907
58,438,j,0.923224925994873,1109,630,1526,908
59,438,j,0.9237162470817566,1107,630,1525,908
60,438,j,0.923244833946228,1106,630,1526,908
61,438,j,0.9254814386367798,1113,630,1526,908
62,438,j,0.9252374768257141,1115,630,1525,908
63,438,j,0.9250656366348267,1116,630,1525,908
64,438,j,0.924899160861969,1117,630,1525,908
65,438,j,0.9225689768791199,1116,630,1507,908
66,438,j,0.9168649315834045,1122,629,1485,908
67,438,j,0.9115404486656189,1129,636,1474,908
68,438,j,0.9132290482521057,1131,646,1458,908
69,438,j,0.9143316745758057,1131,651,1444,907
70,438,j,0.9111705422401428,1132,652,1436,905
71,438,j,0.912746012210846,1131,650,1430,906
72,438,j,0.9127300381660461,1134,650,1426,907
73,438,j,0.9137678146362305,1136,650,1424,907
74,438,j,0.9161947965621948,1135,653,1426,906
75,438,j,0.917961061000824,1137,655,1429,907
76,438,j,0.9167431592941284,1141,655,1430,907
77,438,j,0.9156268835067749,1149,654,1431,906
78,438,j,0.9146589636802673,1153,654,1433,906
79,438,j,0.9175896048545837,1154,655,1436,906
80,438,j,0.9172598123550415,1158,656,1438,905
81,438,j,0.9155447483062744,1158,656,1439,906
82,438,j,0.9157593250274658,1159,656,1439,905
83,438,j,0.916140079498291,1161,655,1440,905
84,438,j,0.9169471263885498,1162,655,1440,906
85,438,j,0.9171535968780518,1163,655,1440,906
86,438,j,0.9179452657699585,1165,654,1441,907
87,438,j,0.9173441529273987,1165,654,1441,907
88,438,j,0.9166424870491028,1166,653,1442,907
89,438,j,0.9178064465522766,1165,653,1444,907
90,438,j,0.9166770577430725,1165,653,1445,907
91,438,j,0.9177191257476807,1159,654,1446,907
92,438,j,0.9185628294944763,1158,654,1448,906
93,438,j,0.9180176854133606,1157,655,1449,907
94,438,j,0.9180306792259216,1157,655,1450,908
95,438,j,0.9173934459686279,1157,654,1449,908
96,438,j,0.9175965189933777,1158,654,1448,908
97,438,j,0.9160206317901611,1158,653,1448,908
98,438,j,0.916812002658844,1158,653,1448,908
99,438,j,0.9177138805389404,1159,653,1447,908
100,438,j,0.9167547225952148,1159,653,1447,908
101,438,j,0.9175945520401001,1159,653,1447,908
102,438,j,0.9176169037818909,1160,653,1447,908
103,438,j,0.9188699126243591,1161,654,1448,908
104,438,j,0.9191393256187439,1160,656,1448,908
105,438,j,0.9212313294410706,1156,656,1447,908
106,438,j,0.9218747019767761,1156,657,1445,909
107,438,j,0.9229550957679749,1153,656,1444,909
108,438,j,0.9234740138053894,1152,656,1444,909
109,438,j,0.923369288444519,1150,656,1444,909
110,438,j,0.9232867956161499,1148,656,1444,909
111,438,j,0.922756016254425,1150,656,1445,908
112,438,j,0.9212326407432556,1154,655,1445,908
113,438,j,0.9177325963973999,1158,654,1448,908
114,438,j,0.9156639575958252,1159,654,1449,907
115,438,j,0.913798987865448,1157,654,1451,907
116,438,j,0.9121057391166687,1156,655,1452,906
117,438,j,0.9133232235908508,1157,657,1452,904
118,438,j,0.913419783115387,1157,657,1451,904
119,438,j,0.9119289517402649,1159,658,1451,904
120,438,j,0.9159508943557739,1157,660,1449,905
121,438,j,0.9185434579849243,1162,663,1448,905
122,438,j,0.9174931049346924,1164,664,1448,906
123,438,j,0.9194905757904053,1165,665,1447,906
124,438,j,0.9180983901023865,1169,665,1447,906
125,438,j,0.9163040518760681,1171,665,1446,906
126,438,j,0.9135434031486511,1174,664,1447,906
127,438,j,0.9133902192115784,1176,664,1447,907
128,438,j,0.9111224412918091,1178,664,1447,907
129,438,j,0.9160616397857666,1180,659,1445,908
130,438,j,0.9159975051879883,1181,656,1443,908
131,438,j,0.9168565273284912,1178,654,1442,908
132,438,j,0.9146795868873596,1173,645,1440,907
133,438,j,0.9194712042808533,1169,638,1439,907
134,438,j,0.9165005683898926,1166,632,1436,906
135,438,j,0.9222049713134766,1164,624,1466,907
136,438,j,0.9282678365707397,1165,619,1493,909
137,438,j,0.9266069531440735,1162,616,1508,910
138,438,j,0.9285889863967896,1160,616,1514,910
139,438,j,0.9288392066955566,1159,616,1516,910
140,438,j,0.9288584589958191,1158,616,1517,910
141,438,j,0.9291427135467529,1157,616,1517,910
142,438,j,0.9290058612823486,1157,616,1517,910
143,438,j,0.9286831021308899,1157,616,1517,910
144,438,j,0.9288668632507324,1157,616,1517,909
145,438,j,0.9230553507804871,1157,618,1500,909
146,438,j,0.9204108715057373,1156,618,1478,909
147,438,j,0.9170157313346863,1158,620,1471,908
148,438,j,0.9114479422569275,1159,631,1464,908
149,438,j,0.9139990210533142,1155,640,1453,909
150,438,j,0.9155784845352173,1157,644,1447,909
151,438,j,0.9190416932106018,1160,647,1441,908
152,438,j,0.9190950393676758,1162,649,1438,907
153,438,j,0.9201926589012146,1163,650,1435,906
154,438,j,0.9221497178077698,1163,650,1435,905
155,438,j,0.9220789670944214,1164,650,1435,905
156,438,j,0.9208852648735046,1162,650,1436,906
157,438,j,0.9213473796844482,1163,649,1437,906
158,438,j,0.9207823276519775,1163,649,1437,906
159,438,j,0.9219721555709839,1163,649,1436,906
160,438,j,0.9189931154251099,1163,646,1437,906
161,438,j,0.9208004474639893,1163,643,1437,907
162,438,j,0.9215693473815918,1163,643,1438,907
163,438,j,0.92131507396698,1164,643,1438,907
164,438,j,0.920885443687439,1164,644,1438,906
165,438,j,0.921546995639801,1163,648,1438,906
166,438,j,0.9198235869407654,1163,650,1438,906
167,438,j,0.9209678173065186,1163,652,1438,905
168,438,j,0.9181661009788513,1160,651,1438,906
169,438,j,0.9151166677474976,1160,651,1440,906
170,438,j,0.913630485534668,1162,651,1442,906
171,438,j,0.9174652695655823,1165,650,1442,905
172,438,j,0.9198440313339233,1171,647,1444,904
173,438,j,0.9219531416893005,1173,638,1442,905
174,438,j,0.9243010878562927,1175,628,1440,905
175,438,j,0.9238967299461365,1175,619,1441,906
176,438,j,0.9199556112289429,1174,611,1439,905
177,438,j,0.9198150038719177,1173,604,1439,904
178,438,j,0.9192140102386475,1172,598,1439,906
179,438,j,0.9200080037117004,1172,595,1438,907
180,438,j,0.9196997284889221,1172,594,1438,907
181,438,j,0.9220552444458008,1172,592,1438,906
182,438,j,0.9219141006469727,1172,591,1439,906
183,438,j,0.9209402203559875,1171,591,1439,905
184,438,j,0.919949471950531,1171,592,1439,905
185,438,j,0.920994758605957,1170,594,1439,905
186,438,j,0.9209422469139099,1170,589,1439,905
187,438,j,0.9199283719062805,1168,584,1437,905
188,438,j,0.9193131923675537,1166,582,1436,905
189,438,j,0.9218683838844299,1168,582,1435,905
190,438,j,0.9229071736335754,1171,581,1434,906
191,438,j,0.9201406836509705,1169,577,1434,906
192,438,j,0.9185315370559692,1165,581,1434,905
193,438,j,0.9196006059646606,1164,584,1436,905
194,438,j,0.9209839105606079,1168,586,1436,906
195,438,j,0.9210779666900635,1170,587,1436,906
196,438,j,0.9216930866241455,1170,588,1437,906
197,438,j,0.922029435634613,1171,588,1437,906
198,438,j,0.9238068461418152,1170,587,1437,906
199,438,j,0.9229356050491333,1169,586,1437,906
200,438,j,0.9213814735412598,1169,584,1438,906
201,438,j,0.9200895428657532,1170,579,1437,905
202,438,j,0.9205843806266785,1172,581,1437,905
203,438,j,0.9228554368019104,1173,585,1437,904
204,438,j,0.9222968220710754,1172,591,1444,905
205,438,j,0.9195933938026428,1170,595,1451,904
206,438,j,0.9195027351379395,1168,597,1452,905
207,438,j,0.9183122515678406,1164,598,1454,905
208,438,j,0.9182617664337158,1160,599,1456,905
209,438,j,0.9183820486068726,1159,599,1456,906
210,438,j,0.9171015620231628,1159,599,1457,906
211,438,j,0.9154478311538696,1159,599,1458,906
212,438,j,0.9157395362854004,1159,600,1458,906
213,438,j,0.9162704348564148,1160,600,1458,906
214,438,j,0.9161556363105774,1160,600,1458,906
215,438,j,0.9175184369087219,1160,599,1457,906
216,438,j,0.917083203792572,1160,598,1457,906
217,438,j,0.9158399701118469,1159,598,1457,906
218,438,j,0.9161685705184937,1159,599,1458,906
219,438,j,0.9175018072128296,1157,599,1457,906
220,438,j,0.9173446893692017,1157,599,1457,906
221,438,j,0.9172073602676392,1155,599,1457,906
222,438,j,0.9173545241355896,1154,599,1458,906
223,438,j,0.917754054069519,1155,599,1458,906
224,438,j,0.9183147549629211,1154,599,1458,906
225,438,j,0.9185477495193481,1153,599,1458,906
226,438,j,0.9200984239578247,1153,599,1457,905
227,438,j,0.9203643202781677,1153,599,1456,905
228,438,j,0.920492947101593,1153,599,1456,905
229,438,j,0.9205528497695923,1153,599,1456,905
230,438,j,0.9209970831871033,1152,599,1456,905
231,438,j,0.9216593503952026,1150,599,1456,904
232,438,j,0.9208883047103882,1150,599,1456,904
233,438,j,0.9201658964157104,1150,599,1457,904
234,438,j,0.9203342199325562,1150,600,1454,904
235,438,j,0.9210528135299683,1150,604,1448,904
236,438,j,0.9200032353401184,1150,607,1444,905
237,438,j,0.9211001396179199,1144,608,1442,904
238,438,j,0.9181643128395081,1142,613,1441,904
239,438,j,0.9160776138305664,1141,622,1441,904
240,438,j,0.91785728931427,1142,625,1442,904
241,438,j,0.9180296659469604,1143,626,1444,904
242,438,j,0.9191813468933105,1143,627,1445,904
243,438,j,0.9202733039855957,1143,627,1444,905
244,438,j,0.9197337031364441,1144,627,1444,905
245,438,j,0.9193740487098694,1147,628,1444,905
246,438,j,0.9206644296646118,1147,631,1443,904
247,438,j,0.9198282361030579,1148,639,1442,904
248,438,j,0.9202240705490112,1148,642,1441,904
249,438,j,0.9200239181518555,1148,643,1441,904
250,438,j,0.9207302927970886,1146,643,1442,904
251,438,j,0.9200773239135742,1145,643,1442,904
252,438,j,0.9204956889152527,1145,644,1442,905
253,438,j,0.9205685257911682,1146,644,1443,905
254,438,j,0.9206329584121704,1147,644,1442,905
255,438,j,0.9210273027420044,1147,644,1442,904
256,438,j,0.9190976619720459,1149,643,1442,903
257,438,j,0.9183483719825745,1150,644,1442,903
258,438,j,0.918111264705658,1151,643,1441,903
259,438,j,0.9173498153686523,1151,643,1441,903
260,438,j,0.9184418320655823,1152,645,1441,903
261,438,j,0.9111077189445496,1151,643,1441,903
262,438,j,0.9182835221290588,1151,652,1440,903
263,438,j,0.9150018692016602,1151,670,1440,907
264,438,j,0.9145588278770447,1153,681,1440,913
265,438,j,0.916659414768219,1153,685,1441,917
266,438,j,0.9168121218681335,1154,687,1442,919
267,438,j,0.9186824560165405,1152,688,1444,920
268,438,j,0.9170551300048828,1151,688,1445,919
269,438,j,0.9173300266265869,1152,688,1445,919
270,438,j,0.9162717461585999,1153,687,1443,917
271,438,j,0.9201546311378479,1150,687,1443,907
272,438,j,0.9139289855957031,1149,680,1445,905
273,438,j,0.9104132056236267,1148,668,1444,905
274,438,j,0.9083765149116516,1147,652,1446,905
275,438,j,0.9080999493598938,1147,643,1462,905
276,438,j,0.9144133925437927,1149,638,1478,905
277,438,j,0.9214039444923401,1149,635,1489,905
278,438,j,0.9241560697555542,1149,635,1496,905
279,438,j,0.9263383746147156,1145,634,1500,905
280,438,j,0.9266241788864136,1143,634,1502,905
281,438,j,0.9278233051300049,1140,634,1502,905
282,438,j,0.9286244511604309,1136,634,1502,905
283,438,j,0.9038265943527222,1136,637,1484,905
284,438,j,0.9116244912147522,1133,639,1460,905
285,438,j,0.910861074924469,1131,638,1451,905
286,438,j,0.9215554594993591,1126,654,1447,903
287,438,j,0.9188742637634277,1126,667,1446,902
288,438,j,0.9184359312057495,1129,672,1445,902
289,438,j,0.9157918095588684,1130,674,1445,901
290,438,j,0.9165610671043396,1132,676,1445,900
291,438,j,0.9184241890907288,1134,678,1445,900
292,438,j,0.9177916049957275,1136,680,1446,900
293,438,j,0.9184319972991943,1138,681,1446,903
294,438,j,0.9191923141479492,1138,684,1447,908
295,438,j,0.9208649396896362,1138,685,1448,914
296,438,j,0.9229024052619934,1138,686,1451,917
297,438,j,0.9220643639564514,1137,687,1453,918
298,438,j,0.9213588833808899,1137,687,1453,918
299,438,j,0.921529233455658,1136,686,1454,918
300,438,j,0.9205656051635742,1139,685,1454,917
301,438,j,0.9174180030822754,1149,685,1452,917
302,438,j,0.9141875505447388,1152,681,1448,910
303,438,j,0.9153423309326172,1154,675,1448,907
304,438,j,0.9114043116569519,1158,663,1448,906
305,438,j,0.9127064347267151,1164,653,1447,905
306,438,j,0.906711757183075,1166,645,1447,904
307,438,j,0.9097447395324707,1167,639,1446,904
308,438,j,0.913253903388977,1169,635,1445,903
309,438,j,0.9194456934928894,1175,630,1444,903
310,438,j,0.9275104999542236,1191,626,1442,903
