frame,id,class,confidence,x1,y1,x2,y2
1,77.0,feeder,0.9484217166900635,862,968,2073,1355
2,77.0,feeder,0.9483249187469482,811,979,2003,1368
3,77.0,feeder,0.9480950832366943,792,982,1979,1373
4,77.0,feeder,0.9482806324958801,786,984,1969,1374
5,77.0,feeder,0.9484941959381104,783,984,1964,1375
6,77.0,feeder,0.9484127163887024,782,984,1964,1375
7,77.0,feeder,0.9481964707374573,783,983,1967,1375
8,77.0,feeder,0.9479483366012573,785,983,1972,1375
9,77.0,feeder,0.9483097791671753,788,984,1973,1375
10,77.0,feeder,0.9482361674308777,788,984,1972,1375
11,77.0,feeder,0.9482001066207886,789,984,1973,1375
12,77.0,feeder,0.9482957124710083,789,984,1974,1375
13,77.0,feeder,0.948351263999939,790,983,1975,1375
14,77.0,feeder,0.9478726983070374,791,983,1977,1375
15,77.0,feeder,0.948318600654602,791,983,1978,1374
16,77.0,feeder,0.9480382204055786,790,983,1975,1374
17,77.0,feeder,0.948395848274231,790,983,1974,1374
18,77.0,feeder,0.9482178092002869,790,983,1975,1374
19,77.0,feeder,0.9481796622276306,791,983,1977,1374
20,77.0,feeder,0.9484383463859558,792,983,1976,1373
21,77.0,feeder,0.9484142065048218,793,983,1977,1373
22,77.0,feeder,0.9483321905136108,793,983,1978,1373
23,77.0,feeder,0.9482148289680481,793,983,1979,1373
24,77.0,feeder,0.9480918049812317,793,983,1981,1373
25,77.0,feeder,0.9479875564575195,793,983,1981,1374
26,77.0,feeder,0.9480038285255432,793,983,1980,1373
27,77.0,feeder,0.948213517665863,793,983,1979,1373
28,77.0,feeder,0.9478273987770081,794,983,1980,1373
29,77.0,feeder,0.9478403329849243,793,983,1980,1373
30,77.0,feeder,0.9482426643371582,793,982,1981,1373
31,77.0,feeder,0.948291003704071,794,983,1980,1373
32,77.0,feeder,0.9478803277015686,794,983,1980,1374
33,77.0,feeder,0.9478685259819031,794,983,1979,1374
34,77.0,feeder,0.9476193785667419,794,983,1978,1374
35,77.0,feeder,0.9478511810302734,793,983,1978,1374
36,77.0,feeder,0.948408842086792,793,982,1979,1373
37,77.0,feeder,0.9482676386833191,793,982,1981,1373
38,77.0,feeder,0.9482376575469971,793,983,1979,1374
39,77.0,feeder,0.9479267001152039,794,983,1978,1374
40,77.0,feeder,0.9474872946739197,794,983,1977,1374
41,77.0,feeder,0.9479647278785706,794,984,1975,1374
42,77.0,feeder,0.9482308626174927,793,983,1974,1374
43,77.0,feeder,0.9481893181800842,793,983,1975,1374
44,77.0,feeder,0.948124885559082,794,983,1974,1374
45,77.0,feeder,0.9484430551528931,793,984,1974,1374
46,77.0,feeder,0.9481231570243835,792,984,1975,1374
47,77.0,feeder,0.9478838443756104,790,984,1975,1374
48,77.0,feeder,0.9479061365127563,789,984,1974,1374
49,77.0,feeder,0.9478508234024048,788,983,1973,1374
50,77.0,feeder,0.9482353925704956,787,984,1972,1374
51,77.0,feeder,0.948281466960907,786,983,1970,1374
52,77.0,feeder,0.9484323263168335,786,983,1970,1374
53,77.0,feeder,0.9481337070465088,787,984,1971,1374
54,77.0,feeder,0.948140025138855,787,984,1971,1374
55,77.0,feeder,0.947944700717926,787,983,1971,1374
56,77.0,feeder,0.9475542902946472,786,983,1971,1374
57,77.0,feeder,0.9477706551551819,786,983,1971,1374
58,77.0,feeder,0.9476913213729858,786,984,1971,1373
59,77.0,feeder,0.9481372237205505,786,984,1971,1373
60,77.0,feeder,0.9478464722633362,786,984,1971,1373
61,77.0,feeder,0.9487038254737854,786,983,1971,1373
62,77.0,feeder,0.9488382935523987,785,984,1970,1373
63,77.0,feeder,0.9485807418823242,785,984,1970,1373
64,77.0,feeder,0.9483203887939453,785,984,1971,1373
65,77.0,feeder,0.9482153654098511,784,983,1970,1373
66,77.0,feeder,0.9483740925788879,784,983,1970,1373
67,77.0,feeder,0.9484660029411316,785,983,1970,1373
68,77.0,feeder,0.9483335614204407,785,983,1970,1373
69,77.0,feeder,0.9483274817466736,785,983,1970,1373
70,77.0,feeder,0.9483489990234375,785,983,1969,1373
71,77.0,feeder,0.9483950138092041,785,983,1971,1373
72,77.0,feeder,0.9485640525817871,786,982,1974,1373
73,77.0,feeder,0.948701798915863,787,983,1974,1374
74,77.0,feeder,0.9481936693191528,787,983,1973,1374
75,77.0,feeder,0.9481164216995239,787,984,1972,1374
76,77.0,feeder,0.9481915235519409,787,983,1972,1373
77,77.0,feeder,0.9482391476631165,787,983,1974,1373
78,77.0,feeder,0.9488238096237183,789,983,1976,1374
79,77.0,feeder,0.948550283908844,790,982,1977,1374
80,77.0,feeder,0.9484714865684509,790,983,1976,1374
81,77.0,feeder,0.9484381079673767,791,983,1977,1374
82,77.0,feeder,0.948398232460022,792,983,1976,1374
83,77.0,feeder,0.9481549859046936,792,983,1977,1374
84,77.0,feeder,0.9479178786277771,792,983,1980,1374
85,77.0,feeder,0.9481343030929565,792,982,1983,1374
86,77.0,feeder,0.9481204152107239,792,982,1982,1374
