epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6040.52,0.45265,0.3348,0.88436,0.94804,0.91721,0.95059,0.80687,0.3612,0.21805,0.82371,0.005842,0.005842,0.005842
44,6180.21,0.44671,0.32843,0.88162,0.94662,0.9212,0.94668,0.80489,0.35641,0.21383,0.81968,0.005743,0.005743,0.005743
45,6319.85,0.44846,0.32775,0.88461,0.95341,0.9057,0.94824,0.80504,0.35276,0.21525,0.82046,0.005644,0.005644,0.005644
46,6459.29,0.44122,0.3246,0.88266,0.93009,0.92568,0.94527,0.80507,0.35499,0.21432,0.8218,0.005545,0.005545,0.005545
47,6598.93,0.44493,0.32296,0.8832,0.95029,0.90633,0.94597,0.80113,0.35356,0.21633,0.81896,0.005446,0.005446,0.005446
48,6738.54,0.43753,0.32015,0.88191,0.93653,0.92901,0.94826,0.8047,0.35021,0.20725,0.81904,0.005347,0.005347,0.005347
49,6877.99,0.43723,0.32003,0.88121,0.95134,0.91433,0.94688,0.80071,0.35028,0.20921,0.82049,0.005248,0.005248,0.005248
50,7017.58,0.43604,0.32033,0.88102,0.93489,0.9225,0.94667,0.80074,0.35003,0.20772,0.82092,0.005149,0.005149,0.005149
51,7157.13,0.43385,0.31804,0.87968,0.9583,0.8982,0.94931,0.80332,0.34733,0.20554,0.82173,0.00505,0.00505,0.00505
52,7296.51,0.42806,0.3141,0.87817,0.94587,0.91775,0.94771,0.80371,0.34836,0.20469,0.82035,0.004951,0.004951,0.004951
53,7436.1,0.4275,0.31349,0.87771,0.93984,0.91957,0.9471,0.80495,0.34887,0.20613,0.82023,0.004852,0.004852,0.004852
54,7575.73,0.42439,0.31021,0.87742,0.93587,0.92732,0.94661,0.80256,0.34687,0.2055,0.81942,0.004753,0.004753,0.004753
55,7715.34,0.42042,0.30597,0.8752,0.92803,0.93012,0.9491,0.80192,0.34568,0.20519,0.81974,0.004654,0.004654,0.004654
56,7854.78,0.41682,0.30476,0.87154,0.93632,0.92084,0.94814,0.80537,0.34435,0.20329,0.81863,0.004555,0.004555,0.004555
57,7994.19,0.41434,0.30194,0.87477,0.94851,0.92161,0.94708,0.80438,0.34453,0.20319,0.81966,0.004456,0.004456,0.004456
58,8133.76,0.41577,0.30274,0.87175,0.94424,0.92298,0.94535,0.8048,0.3456,0.20486,0.82089,0.004357,0.004357,0.004357
59,8273.34,0.41215,0.3001,0.872,0.94799,0.92143,0.94674,0.80419,0.3455,0.20406,0.81985,0.004258,0.004258,0.004258
60,8412.9,0.41534,0.29939,0.87242,0.94855,0.92114,0.94739,0.80453,0.34455,0.20265,0.82021,0.004159,0.004159,0.004159
61,8552.34,0.40704,0.29474,0.86867,0.94483,0.92186,0.94665,0.80601,0.34389,0.20217,0.82037,0.00406,0.00406,0.00406
62,8691.83,0.40208,0.29052,0.86825,0.94409,0.92176,0.94788,0.80514,0.34413,0.20084,0.82039,0.003961,0.003961,0.003961
63,8831.26,0.40328,0.29168,0.86957,0.95174,0.91883,0.94802,0.80724,0.34265,0.20009,0.82013,0.003862,0.003862,0.003862
64,8970.8,0.40129,0.29306,0.86893,0.95028,0.92127,0.94854,0.80729,0.3418,0.19983,0.81952,0.003763,0.003763,0.003763
65,9110.15,0.39794,0.28861,0.86874,0.95474,0.91965,0.94851,0.80648,0.34082,0.19865,0.81891,0.003664,0.003664,0.003664
66,9249.52,0.39408,0.28834,0.8666,0.95504,0.91965,0.94864,0.80873,0.34013,0.19878,0.81879,0.003565,0.003565,0.003565
67,9389.03,0.39413,0.28469,0.86679,0.95506,0.91909,0.94871,0.80727,0.33953,0.19853,0.81858,0.003466,0.003466,0.003466
68,9528.56,0.39652,0.28723,0.8676,0.95478,0.9193,0.94868,0.80841,0.33853,0.19788,0.81813,0.003367,0.003367,0.003367
69,9667.96,0.38802,0.27997,0.86447,0.95324,0.91875,0.94834,0.80977,0.33778,0.19744,0.81798,0.003268,0.003268,0.003268
70,9807.69,0.38732,0.27889,0.86586,0.95541,0.92081,0.94844,0.80962,0.33754,0.19718,0.818,0.003169,0.003169,0.003169
71,9947.11,0.38144,0.27542,0.86216,0.95223,0.92184,0.94895,0.80912,0.33716,0.19644,0.81801,0.00307,0.00307,0.00307
72,10086.5,0.38121,0.27334,0.86507,0.94954,0.92656,0.94836,0.80905,0.33702,0.19646,0.81808,0.002971,0.002971,0.002971
73,10225.9,0.38275,0.27523,0.86422,0.95338,0.92185,0.94869,0.80889,0.33671,0.19582,0.81804,0.002872,0.002872,0.002872
74,10365.3,0.37791,0.27352,0.8613,0.95187,0.92237,0.94906,0.80878,0.33626,0.19623,0.81812,0.002773,0.002773,0.002773
75,10504.7,0.3749,0.27098,0.86074,0.95671,0.91841,0.94902,0.81002,0.33541,0.19571,0.81777,0.002674,0.002674,0.002674
76,10644,0.37215,0.26657,0.86046,0.94898,0.92698,0.94943,0.80999,0.33483,0.19544,0.81782,0.002575,0.002575,0.002575
77,10783.4,0.3688,0.26677,0.86082,0.94917,0.92706,0.94981,0.8103,0.33386,0.19489,0.81751,0.002476,0.002476,0.002476
78,10922.8,0.36852,0.26533,0.85988,0.95113,0.92612,0.94967,0.81165,0.33339,0.19441,0.81733,0.002377,0.002377,0.002377
79,11062.4,0.36719,0.26488,0.8609,0.95686,0.92526,0.94978,0.81163,0.33283,0.19456,0.81735,0.002278,0.002278,0.002278
80,11201.9,0.36281,0.26179,0.85874,0.95271,0.928,0.95017,0.81193,0.33244,0.19398,0.81729,0.002179,0.002179,0.002179
81,11341.4,0.35969,0.25889,0.85576,0.95314,0.92789,0.9499,0.8118,0.33224,0.19337,0.8173,0.00208,0.00208,0.00208
82,11480.8,0.36002,0.25726,0.85827,0.95219,0.92917,0.95,0.81221,0.33202,0.19297,0.81726,0.001981,0.001981,0.001981
83,11620.3,0.35696,0.25677,0.85746,0.95297,0.93039,0.95033,0.81222,0.33187,0.19314,0.81723,0.001882,0.001882,0.001882
84,11759.7,0.35476,0.25545,0.85561,0.95324,0.93029,0.95133,0.81186,0.33223,0.19324,0.81749,0.001783,0.001783,0.001783
85,11899.1,0.35126,0.25313,0.85447,0.9564,0.92924,0.9516,0.81235,0.33197,0.19278,0.81738,0.001684,0.001684,0.001684
86,12038.7,0.34941,0.25016,0.85512,0.95666,0.92914,0.95155,0.8127,0.33159,0.19253,0.81733,0.001585,0.001585,0.001585
87,12178.1,0.34508,0.24816,0.85331,0.95211,0.92669,0.95176,0.81333,0.33156,0.19266,0.81732,0.001486,0.001486,0.001486
88,12317.4,0.34542,0.24572,0.85397,0.95375,0.92799,0.95189,0.81348,0.33142,0.19272,0.81737,0.001387,0.001387,0.001387
89,12456.7,0.34097,0.24446,0.85375,0.95406,0.92833,0.95193,0.81344,0.33133,0.19246,0.81733,0.001288,0.001288,0.001288
90,12597.1,0.33828,0.24262,0.85163,0.95434,0.92826,0.952,0.81323,0.3311,0.19221,0.81723,0.001189,0.001189,0.001189
91,12751.9,0.30134,0.17682,0.81041,0.95421,0.92825,0.95191,0.81426,0.33076,0.19187,0.81709,0.00109,0.00109,0.00109
92,12891.5,0.29585,0.17143,0.80963,0.95657,0.93007,0.95192,0.81468,0.33037,0.19145,0.81704,0.000991,0.000991,0.000991
93,13030.7,0.29232,0.16892,0.80655,0.95748,0.93083,0.95221,0.81385,0.3301,0.19187,0.81711,0.000892,0.000892,0.000892
94,13170,0.28753,0.16649,0.80671,0.95754,0.93065,0.95228,0.81386,0.32976,0.19156,0.81703,0.000793,0.000793,0.000793
95,13309.4,0.28214,0.16379,0.80275,0.95734,0.93083,0.95226,0.81454,0.32973,0.19102,0.81709,0.000694,0.000694,0.000694
96,13448.9,0.28006,0.16114,0.80515,0.95631,0.93036,0.95238,0.81483,0.32949,0.191,0.81708,0.000595,0.000595,0.000595
97,13588.1,0.27688,0.15968,0.80389,0.95656,0.93034,0.95249,0.81526,0.32923,0.19067,0.81706,0.000496,0.000496,0.000496
98,13727.4,0.27303,0.15688,0.80258,0.95737,0.92975,0.9526,0.81565,0.32944,0.19044,0.81727,0.000397,0.000397,0.000397
99,13867.1,0.26729,0.15379,0.801,0.95728,0.93008,0.95271,0.81608,0.32912,0.19055,0.8174,0.000298,0.000298,0.000298
100,14006.4,0.26659,0.15139,0.80048,0.95636,0.92897,0.95274,0.81651,0.32899,0.19104,0.81761,0.000199,0.000199,0.000199
