epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3235.65,0.49628,0.37735,0.90071,0.9512,0.90224,0.93602,0.77106,0.41587,0.26913,0.83662,0.005842,0.005842,0.005842
44,3310.08,0.50036,0.37956,0.90229,0.95431,0.88871,0.93672,0.77278,0.41279,0.27121,0.83308,0.005743,0.005743,0.005743
45,3384.57,0.49441,0.37016,0.8962,0.9417,0.91172,0.94135,0.76614,0.41384,0.26591,0.83836,0.005644,0.005644,0.005644
46,3458.92,0.49153,0.37378,0.89633,0.96556,0.8832,0.93432,0.7727,0.40712,0.2642,0.83165,0.005545,0.005545,0.005545
47,3533.54,0.48499,0.36693,0.89836,0.94409,0.90591,0.93676,0.76906,0.41022,0.26572,0.83624,0.005446,0.005446,0.005446
48,3608.12,0.47898,0.36409,0.89235,0.94239,0.90683,0.93383,0.77572,0.40738,0.25867,0.8363,0.005347,0.005347,0.005347
49,3682.88,0.48022,0.36241,0.89304,0.93641,0.89382,0.92968,0.76973,0.40719,0.2632,0.82955,0.005248,0.005248,0.005248
50,3757.53,0.47315,0.35682,0.89113,0.9593,0.90055,0.93899,0.77801,0.39862,0.26024,0.82736,0.005149,0.005149,0.005149
51,3832.17,0.46951,0.35167,0.88982,0.94896,0.90371,0.94141,0.7797,0.3987,0.24689,0.82998,0.00505,0.00505,0.00505
52,3906.77,0.47386,0.35463,0.88944,0.91843,0.91931,0.94044,0.77814,0.39955,0.24538,0.83102,0.004951,0.004951,0.004951
53,3987.27,0.46684,0.34319,0.88788,0.94274,0.90419,0.94078,0.77987,0.39118,0.23882,0.83103,0.004852,0.004852,0.004852
54,4065.93,0.47368,0.35485,0.88989,0.93919,0.90634,0.93406,0.78072,0.3937,0.24399,0.83063,0.004753,0.004753,0.004753
55,4144.35,0.46734,0.34769,0.89109,0.92904,0.9162,0.93728,0.7764,0.39223,0.24695,0.82815,0.004654,0.004654,0.004654
56,4222.94,0.46383,0.34568,0.88836,0.93685,0.91673,0.93639,0.77849,0.38802,0.24219,0.83167,0.004555,0.004555,0.004555
57,4301.54,0.46306,0.34312,0.88687,0.9385,0.90454,0.93599,0.77914,0.38919,0.24413,0.82912,0.004456,0.004456,0.004456
58,4376.61,0.45988,0.34228,0.88586,0.94153,0.90848,0.9438,0.78257,0.38572,0.24068,0.82385,0.004357,0.004357,0.004357
59,4451.37,0.45912,0.34237,0.88487,0.94978,0.9051,0.94342,0.78311,0.37821,0.2386,0.82237,0.004258,0.004258,0.004258
60,4525.73,0.45173,0.33558,0.88255,0.9321,0.91417,0.93757,0.78179,0.38345,0.23753,0.82587,0.004159,0.004159,0.004159
61,4599.94,0.45072,0.33116,0.88456,0.9507,0.91501,0.94074,0.77814,0.37531,0.23076,0.82214,0.00406,0.00406,0.00406
62,4674.24,0.44591,0.33171,0.8802,0.95256,0.90859,0.93642,0.77787,0.37609,0.23236,0.8252,0.003961,0.003961,0.003961
63,4748.53,0.44324,0.32892,0.88291,0.94409,0.91336,0.93747,0.78096,0.38023,0.23314,0.82663,0.003862,0.003862,0.003862
64,4824.88,0.44297,0.32697,0.88224,0.93777,0.92148,0.93868,0.78322,0.38059,0.2325,0.82238,0.003763,0.003763,0.003763
65,4898.97,0.4389,0.32608,0.87969,0.93032,0.91719,0.93801,0.78849,0.36913,0.22855,0.82291,0.003664,0.003664,0.003664
66,4973.12,0.43918,0.32065,0.87843,0.93574,0.92388,0.93467,0.78114,0.36837,0.22305,0.82628,0.003565,0.003565,0.003565
67,5047.3,0.43268,0.31776,0.87941,0.95558,0.90648,0.9417,0.78507,0.37209,0.22429,0.82425,0.003466,0.003466,0.003466
68,5121.44,0.43648,0.32121,0.8809,0.94718,0.90557,0.93684,0.7899,0.36688,0.22404,0.82463,0.003367,0.003367,0.003367
69,5195.51,0.43613,0.31614,0.87611,0.9599,0.90459,0.93651,0.7842,0.36825,0.22659,0.82289,0.003268,0.003268,0.003268
70,5269.72,0.42699,0.3141,0.8756,0.94225,0.91578,0.94137,0.78975,0.3652,0.22024,0.82387,0.003169,0.003169,0.003169
71,5343.98,0.42403,0.30457,0.87495,0.94386,0.91355,0.94244,0.78939,0.36297,0.219,0.82421,0.00307,0.00307,0.00307
72,5418.29,0.41999,0.30732,0.87287,0.93283,0.9281,0.94203,0.79455,0.35917,0.21883,0.82182,0.002971,0.002971,0.002971
73,5492.41,0.42168,0.30649,0.87449,0.93543,0.92498,0.94077,0.79244,0.35908,0.21876,0.82047,0.002872,0.002872,0.002872
74,5566.54,0.41539,0.304,0.87387,0.95731,0.90216,0.93928,0.79125,0.36022,0.2228,0.82099,0.002773,0.002773,0.002773
75,5640.64,0.41382,0.30163,0.874,0.93445,0.925,0.94424,0.79834,0.36178,0.22031,0.82185,0.002674,0.002674,0.002674
76,5714.83,0.41882,0.30786,0.8746,0.96771,0.89992,0.94094,0.79034,0.36349,0.22105,0.82112,0.002575,0.002575,0.002575
77,5789.08,0.41309,0.29945,0.87333,0.94941,0.91168,0.93822,0.79357,0.36047,0.21971,0.82,0.002476,0.002476,0.002476
78,5863.23,0.40821,0.30026,0.87294,0.93466,0.924,0.93845,0.79214,0.3542,0.21782,0.8183,0.002377,0.002377,0.002377
79,5940.96,0.40243,0.29222,0.87071,0.95115,0.90665,0.94053,0.79468,0.35527,0.21586,0.81787,0.002278,0.002278,0.002278
80,6021.18,0.40807,0.29817,0.86857,0.95865,0.90308,0.94289,0.7969,0.35849,0.21353,0.8195,0.002179,0.002179,0.002179
81,6103.98,0.39466,0.28718,0.86667,0.95862,0.90722,0.94276,0.79614,0.35448,0.21436,0.81983,0.00208,0.00208,0.00208
82,6186.73,0.40092,0.29191,0.87108,0.95748,0.90301,0.94411,0.7968,0.35293,0.21275,0.81964,0.001981,0.001981,0.001981
83,6264.68,0.39739,0.28398,0.86992,0.94715,0.91706,0.944,0.80101,0.35199,0.21468,0.81893,0.001882,0.001882,0.001882
84,6340.95,0.39215,0.28637,0.86741,0.94136,0.91072,0.94203,0.80093,0.34822,0.21512,0.81742,0.001783,0.001783,0.001783
85,6417.5,0.38941,0.28333,0.86427,0.95242,0.90653,0.94415,0.79994,0.34877,0.2116,0.81876,0.001684,0.001684,0.001684
86,6493.8,0.39456,0.28472,0.86604,0.94235,0.92016,0.94588,0.80198,0.34868,0.20964,0.81797,0.001585,0.001585,0.001585
87,6569.2,0.38977,0.28171,0.86606,0.9595,0.91114,0.94315,0.80087,0.3491,0.2107,0.8182,0.001486,0.001486,0.001486
88,6643.35,0.38328,0.27657,0.86426,0.95048,0.90978,0.94186,0.8016,0.34778,0.21051,0.81757,0.001387,0.001387,0.001387
89,6717.61,0.3837,0.27584,0.86399,0.96211,0.90659,0.9429,0.80037,0.34544,0.21215,0.81687,0.001288,0.001288,0.001288
90,6791.86,0.37673,0.27173,0.86415,0.96073,0.90682,0.94216,0.80244,0.34544,0.21129,0.81562,0.001189,0.001189,0.001189
91,6880.59,0.34734,0.20852,0.82392,0.96084,0.9048,0.9421,0.79941,0.34922,0.21309,0.81717,0.00109,0.00109,0.00109
92,6954.49,0.33566,0.20246,0.82278,0.95982,0.90681,0.94154,0.79818,0.3501,0.21202,0.81604,0.000991,0.000991,0.000991
93,7028.67,0.33409,0.19901,0.81712,0.95544,0.90828,0.94268,0.79729,0.35415,0.21425,0.81645,0.000892,0.000892,0.000892
94,7102.82,0.32732,0.19581,0.81441,0.96486,0.90092,0.94328,0.797,0.35467,0.21423,0.81693,0.000793,0.000793,0.000793
95,7177.05,0.32619,0.19452,0.81609,0.95637,0.90367,0.94362,0.7945,0.35432,0.21496,0.81879,0.000694,0.000694,0.000694
96,7251.29,0.32388,0.19276,0.81484,0.94017,0.91495,0.94241,0.79326,0.3533,0.21605,0.8196,0.000595,0.000595,0.000595
97,7325.53,0.31611,0.18691,0.81322,0.9452,0.90919,0.94206,0.79595,0.35133,0.21406,0.8199,0.000496,0.000496,0.000496
98,7399.61,0.31656,0.1852,0.81537,0.93067,0.92281,0.94234,0.79927,0.35029,0.21386,0.81927,0.000397,0.000397,0.000397
99,7473.78,0.31361,0.18138,0.81286,0.93246,0.92131,0.94163,0.79921,0.34938,0.21265,0.81899,0.000298,0.000298,0.000298
100,7547.76,0.30796,0.17823,0.81364,0.9394,0.91262,0.94197,0.79852,0.34914,0.21244,0.81912,0.000199,0.000199,0.000199
